COUNT,Temporary PoleId,Permanent,X,Y,Primary,Neutral,Secondary,Construction Primary,Type,Ht,Location,Phasing,Lat,Lon,Feeder,Remarks
430,ALA2902-10-16,ALA4581,43666413.47,5958475.399,,2b,2b,J6/J15,S,25,North Ave.,A,16.15534482,119.9944119,6,
431,ALA2913-01,ALA4606,43663089.61,5957193.737,2b,2b,,C1,S,30,V. Ungson St.,ABC,16.15196189,119.985278,6,
432,ALA2913-02,ALA4607,43663142.01,5957358.912,2b,2b,,C1,W,30,V. Ungson St.,ABC,16.15239787,119.985422,6,
433,ALA2913-03,ALA4608,43663200.23,5957500.291,2b,2b,,C1,W,30,V. Ungson St.,ABC,16.15277104,119.985582,6,
434,ALA2913-04,ALA2913-04,43663262.83,5957634.392,2b,2b,2b,A4/A5,W,30,V. Ungson St.,A,16.153125,119.985754,6,
435,ALA2913-05,ALA4610,43663376.76,5957516.923,2b,2b,2b,A1,S,30,Pandayan Rd,C,16.15281494,119.9860671,6,
436,ALA2913-06,ALA4611,43663503.33,5957396.104,2b,2b,2b,A1,W,30,Pandayan Rd,C,16.15249604,119.9864149,6,
437,ALA2913-07,ALA4612,43663614.39,5957291.918,2b,2b,2b,A1,W,30,Pandayan Rd,C,16.15222104,119.9867201,6,
438,ALA2913-08,ALA4613,43663647.8,5957272.164,2b,2b,2b,A5,S,30,Pandayan Rd,C,16.1521689,119.9868119,6,
439,ALA2913-09,ALA4614,43663757.08,5957347.936,,2b,2b,J5,C,25,Pandayan Rd,C,16.1523689,119.9871122,6,
440,ALA2913-10,ALA4615,43663850.17,5957435.49,,2b,2b,J10,C,25,Pandayan Rd,C,16.1526,119.987368,6,
441,ALA2913-11,ALA4616,43663964.43,5957546.493,,2b,2b,J10,C,25,Pandayan Rd,C,16.15289299,119.987682,6,
442,ALA2913-12,ALA4617,43664011.05,5957645.364,,2b,2b,J6/J15,C,25,Pandayan Rd,C,16.15315396,119.9878101,6,
443,ALA2913-13,ALA4618,43663763.52,5957199.048,,2b,2b,J10,C,25,Pandayan Rd,C,16.15197591,119.9871299,6,
444,ALA2913-14,ALA4619,43663859.26,5957109.649,,2b,2b,J10,C,25,Pandayan Rd,C,16.15173994,119.987393,6,
445,ALA2913-15,ALA4620,43663982.3,5957048.316,,2b,2b,J6/J15,C,25,Pandayan Rd,C,16.15157805,119.9877311,6,
446,ALA2913-16,ALA4621,43664085.58,5957121.776,,2b,2b,J6/J15,S,25,Pandayan Rd,C,16.15177195,119.9880149,6,
447,ALA2913-17,ALA4622,43663712.94,5957141.068,,2b,2i,J10,C,25,Pandayan Rd,C,16.15182287,119.9869909,6,
448,ALA2913-18,ALA4623,43663790.12,5957008.581,,2b,2i,J5,S,25,Pandayan Rd,C,16.15147317,119.987203,6,
449,ALA2913-19,ALA4624,43663871.24,5956869.514,,2b,2i,J5,W,25,Pandayan Rd,C,16.1511061,119.9874259,6,
450,ALA2913-20,ALA4625,43663933.5,5956751.235,,2b,2i,J6/J15,W,25,Pandayan Rd,C,16.1507939,119.987597,6,
451,ALA2913-21,ALA4609A,43663317.74,5957765.838,2b,2b,,C7-C7,S,25,V. Ungson St.,ABC,16.15345972,119.9859495,6,FLATFORM
452,ALA2913-22,ALA4628A,43663362.9,5957902.599,,2b,2b,J6/J15,W,25,V. Ungson St.,C,16.15380553,119.9860986,6,
453,ALA2913-04-B,ALA4639,43663128.07,5957731.077,2b,2b,2b,A1,C,30,Pandayan Rd,C,16.1533802,119.9853837,6,
454,,ALA4640,,,,2b,2i,J5,C,30,,C,16.153173,119.985293,,
455,ALA2913-23,ALA4628,43663103.4,5957755.673,,2b,2b,J5,W,25,Pandayan Rd,C,16.15344512,119.9853159,6,
456,ALA2913-24,ALA4629,43663075.41,5957782.587,2b,2b,2b,A1,W,30,Pandayan Rd,C,16.15351616,119.985239,6,
457,ALA2913-25,ALA4630,43663065.99,5957793.908,,2b,2b,J5,C,25,Pandayan Rd,C,16.15354604,119.9852131,6,
458,ALA2913-26,ALA4637,43663121.7,5957889.778,,2b,2b,J5,S,25,Pandayan Rd,C,16.15379909,119.9853662,6,
459,ALA2913-27,ALA4638,43663200.56,5958002.975,,2b,2b,J6/J15,S,25,Pandayan Rd,C,16.15409787,119.9855829,6,
460,ALA2913-28,ALA4631,43662941.86,5957883.656,2b,2b,2b,A1,W,30,Pandayan Rd,C,16.15378293,119.984872,6,
461,ALA2913-29,ALA4632,43662836.33,5957964.395,2b,2b,2b,A4 ,W,30,Pandayan Rd,C,16.15399604,119.984582,6,
462,ALA2913-29-1,ALA4633,43662868.72,5958085.215,2b,2b,,A5,W,30,Pandayan Rd,C,16.15431494,119.984671,6,
463,ALA2913-30,ALA4634,43662808.71,5957985.994,,2b,2b,J5,W,25,Pandayan Rd,C,16.15405305,119.9845061,6,
464,ALA2913-31,ALA4635,43662700.99,5958058.762,,2b,2b,J10,W,25,Pandayan Rd,C,16.15424512,119.9842101,6,
465,ALA2913-32,ALA4636,43662581.27,5958126.567,,2b,2b,J6/J15,W,25,Pandayan Rd,C,16.15442409,119.9838811,6,
466,ALA2913-1L,ALA5465,43662963.37,5956862.236,2b,2b,2b,A5,C,30,To Alaminos Public Cemetery,C,16.15108689,119.9849311,6,
467,ALA2913-2L,ALA5466,43662893.79,5956728.599,2b,2b,2b,J6,S,25,To Alaminos Public Cemetery,C,16.15073415,119.9847399,6,
468,ALA2926-15-1,ALA4547,43663730.77,5958911.902,2b,2b,2b,A4,C,30,V. Ungson St.,C,16.15649695,119.9870399,6,
469,ALA2926-15-2,ALA4548,43663657.01,5958671.299,2b,2b,2b,A1,C,30,V. Ungson St.,C,16.15586189,119.9868372,6,
470,ALA2926-15-3,ALA4549,43663607.41,5958489.489,2b,2b,2b,A4,C,30,V. Ungson St.,C,16.15538201,119.9867009,6,
471,ALA2926-15-4,ALA4554,43663520.43,5958286.08,,2b,2b,J6,C,30,V. Ungson St.,C,16.15484512,119.9864619,6,
472,ALA2926-15-5,ALA4550,43663786.16,5958384.956,2b,2b,2b,A1,C,30,V. Ungson St.,C,16.1551061,119.9871921,6,
473,ALA2926-15-6,ALA4551,43663951.7,5958270.142,2b,2b,2b,A5,C,30,V. Ungson St.,C,16.15480305,119.987647,6,
474,ALA2926-15-7,ALA4552,43664066.29,5958195.524,,2b,2b,J6/J6,C,25,V. Ungson St.,C,16.1546061,119.9879619,6,
475,ALA2926-15-8,ALA4553,43664145.62,5958300.405,,2b,2b,J6,C,25,V. Ungson St.,C,16.15488293,119.9881799,6,
476,ALA2941-1,ALA4641,43665882.13,5952886.658,2b,2b,2i,A2,W,30,Orchid St.,B,16.14059299,119.9929518,6,
477,ALA2941-2,ALA4642,43665947.71,5953045.008,2b,2b,2i,A1,S,30,Orchid St.,B,16.14101098,119.993132,6,
478,ALA2941-3,ALA4643,43666025.58,5953188.224,2b,2b,2i,A1,S,30,Orchid St.,B,16.14138902,119.993346,6,
479,ALA2941-4,ALA4644,43666083.08,5953326.478,2b,2b,2i,A1,W,30,Orchid St.,B,16.14175396,119.993504,6,
480,ALA2941-5,ALA4645,43666154.22,5953508.82,2b,2b,2i,A1,W,30,Orchid St.,B,16.14223528,119.9936995,6,
481,ALA2941-5A,ALA4646,43666169.62,5953543.746,2b,2b,2i,A1/A5,C,30,Orchid St.,B,16.14232747,119.9937418,6,
482,ALA2941-6,ALA4735,43666340.69,5953492.451,2b,2b,2b,A4,C,30,Sun Flower St.,B,16.14219207,119.9942119,6,
483,ALA2941-7,ALA4736,43666311.28,5953351.079,2b,2b,2b,A4,C,30,Sun Flower St.,B,16.1418189,119.9941311,6,
484,ALA2941-8,ALA4737,43666406.26,5953321.166,2b,2b,2b,A2,C,30,Sun Flower St.,B,16.14173994,119.9943921,6,
485,ALA2941-9,ALA4738,43666488.14,5953307.884,2b,2b,2b,A2,C,30,Sun Flower St.,B,16.14170488,119.9946171,6,
486,ALA2941-10,ALA4739,43666644.22,5953268.152,2b,2b,2b,A5,C,30,Sun Flower St.,B,16.1416,119.995046,6,
487,ALA2941-11,ALA4740,43666792.33,5953223.801,,2b,2b,J5,C,25,Sun Flower St.,B,16.14148293,119.995453,6,
488,ALA2941-12,ALA4741,43666939.34,5953185.224,,2b,2b,J5,C,25,Sun Flower St.,B,16.1413811,119.995857,6,
489,ALA2941-13,ALA4742,43667098.33,5953111.65,,2b,2b,J6,C,25,Sun Flower St.,B,16.14118689,119.9962939,6,
490,ALA2941-14,ALA4647,43666216.92,5953646.229,2b,2b,2i,A1,W,30,Orchid St.,B,16.14259799,119.9938718,6,
491,ALA2941-15,ALA4648,43666299.31,5953783.396,2b,2b,2i,A1,W,30,Orchid St.,B,16.14296006,119.9940982,6,
492,ALA2941-16,ALA4649,43666371.65,5953929.966,2b,2b,,A1,W,30,Orchid St.,B,16.14334695,119.994297,6,
493,ALA2941-17,ALA4650,43666427.33,5954121.35,2b,2b,,A1,W,30,Orchid St.,B,16.14385213,119.99445,6,
494,ALA2941-18,ALA4651,43666525.19,5954324.402,2b,2b,,A1,S,30,Orchid St.,B,16.14438811,119.9947189,6,
495,ALA2941-19,ALA4652,43666599.09,5954520.985,2b,2b,2i,A1,W,30,Orchid St.,B,16.14490701,119.994922,6,
