Count,Feeder,PoleId,Permanent Pole ID,Primary,Neutral,Secondary,Construction Primary,Type,Ht,X,Y,Lat,Lon,Location,Phasing,"Length, Primary",Old Id,Remarks
1669,4,ALA1244-34,ALA3936,2b,2b,2b,A1,S,30,43653485.79,5980627.597,16.213806,119.958887,Pangapisan,A,36.9,ALA1244-34,
1670,4,ALA1244-35,ALA3937,2b,2b,2b,A1,S,30,43653314.02,5980710.555,16.214025,119.9584149,Pangapisan,A,57.9,ALA1244-35,
1671,4,ALA1244-36,ALA3938,,2b,2b,J6,W,30,43653061.51,5980622.973,16.2137939,119.957721,Pangapisan,A,81.4,ALA1244-36,
1672,4,ALA1244-39,ALA3966,1/0b,1/0b,1/0i,A2,S,30,43652225.99,5980785.194,16.21422195,119.955425,Pangapisan,A,76,ALA1244-39,
1673,4,ALA1244-40,ALA3973,2b,2b,2b,A6,W,30,43652098.3,5980905.706,16.214362,119.955078,Pangapisan,A,52.7,ALA1244-40,
1674,4,ALA1244-41,ALA3974,2b,2b,2b,A1,S,30,43652020.42,5980980.808,16.21473811,119.9548601,Pangapisan,A,32.5,ALA1244-41,
1675,4,ALA1244-39-1,ALA3967,,2b,2b,j10,c,25,43651922.46,5980955.39,16.21467104,119.9545909,Pangapisan,A,30,ALA1244-39-1,
1676,4,ALA1244-39-2,ALA3968,,2b,2b,j10,c,25,43651846.44,5981034.998,16.2148811,119.954382,Pangapisan,A,32,ALA1244-39-2,
1677,4,ALA1244-39-3,ALA3969,,2b,2b,J10,c,25,43651810.05,5981111.139,16.21508201,119.954282,Pangapisan,A,24,ALA1244-39-3,
1678,4,ALA1244-39-4,ALA3970,,2b,2b,J6,c,25,43651709.65,5981136.905,16.21515,119.9540061,Pangapisan,A,31,ALA1244-39-4,
1679,4,ALA1244-39-L1,ALA3971,,2b,2b,J8,w,25,43652047.24,5980579.069,16.21367805,119.9549338,Pangapisan,A,81,ALA1244-39-L1,
1680,4,ALA1244-39-L2,ALA3972,,2b,2b,j8,s,25,43652013.43,5980355.033,16.21308689,119.9548409,Pangapisan,A,66,ALA1244-39-L2,
1681,4,ALA1319,ALA1319,,2b,2b,J6-J6,W,25,43651959.94,5980185.65,16.21263994,119.9546939,Pangapisan,A,52.4,ALA1319,
1682,4,ALA1319-1L,ALA1319A,,2b,2b,J6,,25,43651960.38,5980128.804,16.21248994,119.9546951,Pangapisan,A,16.7,ALA1319-1L,
1683,4,ALA1246,ALA1246,2b,2b,2b,A1,W,30,43657094.66,5975773.73,16.20099787,119.968804,Mona,A,66,ALA1246,
1684,4,ALA1247,ALA1247,2b,2b,2b,A3,S,30,43657188.18,5975994.284,16.20157988,119.969061,Mona,A,70,ALA1247,
1685,4,ALA1248,ALA1248,2b,2b,2b,A1,C,30,43657126.39,5976276.306,16.20232409,119.9688912,Mona,A,84,ALA1248,
1686,4,ALA1249,ALA1249,,2b,2b,J6/15,w,25,43656875.19,5976239.1,16.20222591,119.9682009,Mona,A,77,ALA1249,
1687,4,ALA1250,ALA1250,,2b,2b,J8,s,25,43656671.04,5976237.599,16.20222195,119.9676399,Mona,A,62,ALA1250,
1688,4,ALA1251,ALA1251,,2b,2b,j6,s,25,43656437.41,5976201.204,16.20212591,119.9669979,Mona,A,72,ALA1251,
1689,4,ALA1258,ALA1258,2b,2b,,A1,W,30,43657082.65,5976475.947,16.20285091,119.968771,Mona,A,60,ALA1258,
1690,4,ALA1259,ALA1259,2b,2b,2b,A2,S,30,43657091.42,5976808.345,16.20372805,119.9687951,Mona,A,97,ALA1259,
1691,4,ALA1259-01,ALA3828,1/0b,1/0b,1/0i,A2,S,30,43657119.4,5976778.074,16.20364817,119.968872,Mona,A,12,ALA1259-1,
1692,4,ALA1259-02,ALA3829,1/0b,1/0b,1/0i,J6,s,25,43657282.03,5976769.294,16.203625,119.9693189,Mona,A,49,ALA1259-2,
1693,4,ALA1259-03,ALA3830,1/0b,1/0b,1/0i,A14,S,30,43657444,5976789.397,16.20367805,119.969764,Mona,A,49,ALA1259-3,
1694,4,ALA1259-04,ALA3831,1/0b,1/0b,1/0i,A14,S,30,43657602.01,5976767.793,16.20362104,119.9701982,Mona,A,48,ALA1259-4,
1695,4,ALA1259-05,ALA3832,1/0b,1/0b,1/0i,A2,S,30,43657730.03,5976764.325,16.20361189,119.97055,Mona,A,39,ALA1259-5,
1696,4,ALA1259-06,ALA3833,1/0b,1/0b,1/0i,A5,S,30,43657848.3,5976747.689,16.20356799,119.970875,Mona,A,36,ALA1259-6,
1697,4,ALA1259-07,ALA3834,1/0b,1/0b,1/0i,J10/J15,S,30,43657831.2,5976572.653,16.2031061,119.970828,Mona,A,51,ALA1259-7,
1698,4,ALA1259-08,ALA3835,,1/0b,1/0i,j8,s,25,43657776.29,5976490.389,16.20288902,119.9706771,Mona,A,29,ALA1259-8,
1699,4,ALA1259-09,ALA3836,,1/0b,1/0i,j6,s,25,43657721.7,5976344.817,16.20250488,119.9705271,Mona,A,45,ALA1259-9,
1700,4,ALA1259-10,ALA3837,,1/0b,1/0i,J10,S,30,43657973.45,5976497.555,16.20290793,119.9712189,Mona,A,48,ALA1259-10,
1701,4,ALA1259-11,ALA3838,,1/0b,1/0i,J5,S,30,43658185.68,5976586.284,16.20314207,119.9718021,Mona,A,69,ALA1259-11,
1702,4,ALA1259-12,ALA3839,,1/0b,1/0i,j10,s,25,43658270.47,5976654.799,16.20332287,119.9720351,Mona,A,32,ALA1259-12,
1703,4,ALA1259-13,ALA3840,,1/0b,1/0i,j10,s,25,43658368.32,5976734.865,16.20353415,119.972304,Mona,A,38,ALA1259-13,
1704,4,ALA1259-14,ALA3841,,1/0b,1/0i,j8,s,25,43658465.48,5976834.804,16.20379787,119.972571,Mona,A,41,ALA1259-14,
1705,4,ALA1259-15,ALA3842,,1/0b,1/0i,J6,s,25,43658527.75,5976975.409,16.2041689,119.9727421,Mona,A,45,ALA1259-15,
1706,4,ALA1260,ALA1260,2b,2b,2b,A1,W,30,43657125.92,5976958.428,16.20412409,119.9688899,Mona,A,45,ALA1260,
1707,4,ALA1261,ALA1261,2b,2b,2b,A1,S,30,43657156.88,5977089.907,16.20447104,119.968975,Mona,A,39,ALA1261,
1708,4,ALA1262,ALA1262,2b,2b,2b,A2,S,30,43657232.54,5977337.387,16.20512409,119.9691829,Mona,A,76,ALA1262,
1709,4,ALA1263,ALA1263,2b,2b,2b,A1,S,30,43657245.64,5977547.316,16.20567805,119.9692189,Mona,A,61,ALA1263,
1710,4,ALA1264,ALA1264,2b,2b,2b,A2,S,30,43657270.39,5977806.466,16.20636189,119.9692869,Mona,A,76,ALA1264,
1711,4,ALA1265,ALA1265,2b,2b,2b,A2,S,30,43657256.63,5977976.999,16.20681189,119.9692491,Mona,A,50,ALA1265,
1712,4,ALA1266,ALA1266,2b,2b,2b,A2,S,30,43657227.88,5978235.919,16.20749512,119.9691701,Mona,A,76,ALA1266,
1713,4,ALA1267,ALA1267,2b,2b,2b,A1,S,30,43657326.06,5978495.881,16.2081811,119.9694399,Mona,A,82,ALA1267,
1714,4,ALA1268,ALA1268,2b,2b,2b,A1,W,30,43657433.49,5978768.321,16.2089,119.9697351,Mona,A,86,ALA1268,
1715,4,ALA1269,ALA1269,2b,2b,2b,A1,W,30,43657573.92,5978988.077,16.20947988,119.970121,Mona,A,77,ALA1269,
1716,4,ALA1270,ALA1270,2b,2b,2b,A5,S,30,43657747.9,5979251.161,16.21017409,119.9705991,Mona,A,93,ALA1270,
1717,4,ALA1270-1,ALA1270A,,2b,2b,J5,s,25,43657915.66,5979338.624,16.21040488,119.9710601,Mona,A,57,ALA1270-1,
1718,4,ALA1271,ALA1271,,2b,2b,J6,w,25,43658009.18,5979378.139,16.21050915,119.9713171,Mona,A,30,ALA1271,
1719,4,ALA1272,ALA1272,,2b,2b,J10,s,25,43657582.25,5979524.41,16.21089512,119.9701439,Mona,A,94,ALA1272,
1720,4,ALA1273,ALA1273,,2b,2b,J5,s,25,43657381.45,5979652.776,16.21123384,119.9695921,Mona,A,72,ALA1273,
1721,4,ALA1274,ALA1274,,2b,2b,J6,s,25,43657204.26,5979737.006,16.2114561,119.9691052,Mona,A,59,ALA1274,
1722,4,ALA1341,ALA1341,2b,2b,,A5,S,30,43653155.4,5980763.589,16.21416494,119.957979,Pangapisan,A,51,ALA1341,
1723,4,ALA1346,ALA1346,1/0b,1/0b,1/0i,A4/A5-1,S,30,43652954.12,5981730.795,16.21671707,119.9574259,Pangapisan,A,49,ALA1346,19-Jan
1724,4,ALA1346-1,ALA3955,1/0b,1/0b,1/0i,A2,S,30,43652938.51,5981492.01,16.216087,119.957383,Pangapisan,A,69,,19-Jan
1725,4,ALA1346-2,ALA3956,1/0b,1/0b,1/0i,A2,S,30,43652865.37,5981329.048,16.215657,119.957182,Pangapisan,A,52,,19-Jan
1726,4,ALA1346-3,ALA3957,1/0b,1/0b,1/0i,A2,S,30,43652737.27,5981190.721,16.215292,119.95683,Pangapisan,A,55,,19-Jan
1727,4,ALA1346-3-1,ALA3958,,1/0b,1/0i,J5,S,25,43652792.59,5981064.141,16.214958,119.956982,Pangapisan,A,40,,19-Jan
1728,4,ALA1346-3-2,ALA3959,,1/0b,1/0i,J6,S,25,43652803.87,5980994.03,16.214773,119.957013,Pangapisan,A,20,,19-Jan
1729,4,ALA1346-4,ALA3960,1/0b,1/0b,1/0i,A1,S,30,43652625.19,5981130.084,16.215132,119.956522,Pangapisan,A,37,,19-Jan
1730,4,ALA1346-5,ALA3961,1/0b,1/0b,1/0i,A2,S,30,43652442.51,5981071.721,16.214978,119.95602,Pangapisan,A,56,,19-Jan
1731,4,ALA1346-6,ALA3962,1/0b,1/0b,1/0i,A4,S,30,43652434.51,5980864.041,16.21443,119.955998,Pangapisan,A,60,,19-Jan
1732,4,ALA1346-6-1,ALA3963,,1/0b,1/0i,J10,S,30,43652567.33,5980887.537,16.214492,119.956363,Pangapisan,A,39,,19-Jan
1733,4,ALA1346-6-2,ALA3964,,1/0b,1/0i,J10,S,30,43652609.18,5980728.746,16.214073,119.956478,Pangapisan,A,47,,19-Jan
1734,4,ALA1346-6-3,ALA3965,,1/0b,1/0i,J6,S,30,43652864.64,5980709.418,16.214022,119.95718,Pangapisan,A,75,,19-Jan
1735,4,ALA1347,ALA1347,1/0b,1/0b,1/0i,A2,S,30,43653022.57,5981862.632,16.21706494,119.957614,Pangapisan,A,44,ALA1347,19-Jan
1736,4,ALA1348,ALA1348,1/0b,1/0b,1/0i,A1,S,30,43653084.04,5981971.472,16.21735213,119.9577829,Pangapisan,A,37,ALA1348,19-Jan
1737,4,ALA1349,ALA1349,1/0b,1/0b,1/0i,A6,S,30,43653171.05,5982245.774,16.21807591,119.958022,Pangapisan,A,84,ALA1349,19-Jan
1738,4,ALA1350,ALA1350,1/0b,1/0b,1/0i,A2,S,30,43653324.58,5982320.533,16.21827317,119.9584439,Pangapisan,A,51,ALA1350,19-Jan
1739,4,ALA1351,ALA1351,1/0b,1/0b,1/0i,A1,S,30,43653471.6,5982316.258,16.21826189,119.9588479,Pangapisan,A,44,ALA1351,
1740,4,ALA1352,ALA1352,1/0b,1/0b,1/0i,A2,S,30,43653598.27,5982305.282,16.21823293,119.959196,Pangapisan,A,38,ALA1352,
1741,4,ALA1352-1,ALA3945,1/0b,1/0b,1/0i,A1,S,30,43653830.84,5982185.576,16.21791707,119.9598351,Pangapisan,A,79,ALA1352-1,
1742,4,ALA1352-2,ALA3946,1/0b,1/0b,1/0i,A5,S,30,43654020.43,5982068.879,16.21760915,119.9603561,Pangapisan,A,67,ALA1352-2,
1743,4,ALA1352-2-1,ALA3947,,1/0b,1/0i,J10/J15,S,30,43654014.58,5981715.61,16.217085,119.960622,Pangapisan,A,66,,19-Jan
1744,4,ALA1352-2-1-1,ALA3951,,1/0b,1/0i,J5,S,30,43654014.94,5981715.61,16.216748,119.96037,Pangapisan,A,49,,19-Jan
1745,4,ALA1352-3,ALA3952,,2b,2b,J6,S,25,43654070.91,5981867.601,16.21707805,119.9604948,Pangapisan,A,39,ALA1352-3,
1746,4,ALA1352-4,ALA3953,,2b,2b,J10,S,25,43654047.29,5981734.957,16.21672805,119.9604299,Pangapisan,A,11,ALA1352-4,
1747,4,ALA1352-5,ALA3954,,1/0b,1/0i,J6,S,25,43653968.4,5981606.819,16.21638994,119.9602131,Pangapisan,A,44,ALA1352-5,
2185,4,ALA1352-3-1,ALA3948,,1/0b,1/0i,J8,s,30,43654315.52,5981816.032,16.21694198,119.961167,Bukig Pangapisan,A,48,,
2186,4,ALA1352-3-2,ALA3949,,1/0b,1/0i,J10,s,30,43654427.61,5981765.65,16.21680904,119.961475,Bukig Pangapisan,A,39,,
2187,4,ALA1352-3-3,ALA3950,,1/0b,1/0i,J6,s,30,43654498.2,5981684.522,16.21659497,119.961669,Bukig Pangapisan,A,39,,
1748,4,ALA1358,ALA1358,2b,2b,2b,A1,W,30,43651915.91,5981273.361,16.21551006,119.9545729,"Rongos, Pangapisan",A,91.7,ALA1358,
1749,4,ALA1359,ALA1359,2b,2b,,A1,W,30,43651687.45,5981439.745,16.21594909,119.9539451,"Rongos, Pangapisan",A,85.3,ALA1359,
1750,4,ALA1359A,ALA1359A,2b,2b,,J10,S,25,43651776.2,5981677.711,16.216577,119.954189,"Rongos, Pangapisan",A,,,
1751,4,ALA1360,ALA1360,2b,2b,,A1,S,30,43651704.55,5981843.334,16.21701402,119.9539921,"Rongos, Pangapisan",A,118.7,ALA1360,
1752,4,ALA1361,ALA1361,2b,2b,,A4,W,30,43651407.53,5982638.051,16.21911098,119.9531759,"Rongos, Pangapisan",A,25.5,ALA1361,
1753,4,ALA1361-1,ALA1362,2b,2b,,A1,S,30,43651129.51,5982824.077,16.21960183,119.9524119,"Rongos, Pangapisan",A,11.1,ALA1361-1,
1754,4,ALA1361-2,ALA1363,2b,2b,,A1,S,30,43650865.03,5982986.417,16.22003018,119.9516851,"Rongos, Pangapisan",A,93.9,ALA1361-2,
1755,4,ALA1361-3,ALA1364,2b,2b,,A1,S,30,43650582.64,5983161.817,16.22049299,119.9509091,"Rongos, Pangapisan",A,97,ALA1361-3,
1756,4,ALA1361-3A,ALA1365,2b,2b,,A1,S,30,43650315.39,5983338.279,16.2209586,119.9501747,"Rongos, Pangapisan",A,93,,
1757,4,ALA1361-4,ALA1366,2b,2b,,A1/A5,W,30,43650138.64,5983455.535,16.22126799,119.949689,"Rongos, Pangapisan",A,62,ALA1361-4,
1758,4,ALA1361-5,ALA1367,2b,2b,,A1,S,30,43650589.19,5983845.851,16.22229787,119.9509271,"Rongos, Pangapisan",A,179.3,ALA1361-5,
1759,4,ALA1361-6,ALA1368,2b,2b,,A1,S,30,43650939.23,5984117.617,16.22301494,119.951889,"Rongos, Pangapisan",A,133.6,ALA1361-6,
1760,4,ALA1361-7,ALA1369,2b,2b,,A1,S,30,43651416.63,5984500.425,16.224025,119.9532009,"Rongos, Pangapisan",A,184.3,ALA1361-7,
1761,4,ALA1361-8,ALA1371,2b,2b,,A2,W,30,43651779.44,5984783.172,16.22477104,119.9541979,"Rongos, Pangapisan",A,138.6,ALA1361-8,
1762,4,ALA1361-9,ALA5506,2b,2b,,A4,W,30,43652051.68,5984925.642,16.22514695,119.954946,"Rongos, Pangapisan",A,93.2,ALA1361-9,
1763,4,ALA1361-10-1,ALA5507,,2b,2b,J6,W,25,43652378.1,5985164.479,16.22577713,119.955843,"Rongos, Pangapisan",A,122,ALA1361-9-1,
1764,4,ALA1361-10,ALA5508,2b,2b,2b,A1,W,30,43652125.92,5985235.311,16.22596402,119.95515,"Rongos, Pangapisan",A,93.7,ALA1374,
1765,4,ALA1361-11,ALA5509,2b,2b,2b,A1,S,30,43652280.57,5985481.661,16.22661402,119.955575,"Rongos, Pangapisan",A,86.5,ALA1375,
1766,4,ALA1361-12,ALA5510,2b,2b,2b,A1,W,30,43652304.19,5985798.5,16.22745,119.9556399,"Rongos, Pangapisan",A,93.5,ALA1376,
1767,4,ALA1361-13,ALA5511,2b,2b,2b,A6,S,30,43652263.47,5986271.099,16.22869695,119.955528,"Rongos, Pangapisan",A,139.4,ALA1377,
1768,4,ALA1361-14,ALA5512,2b,2b,2b,A2,W,30,43652311.87,5986709.614,16.22985396,119.955661,"Rongos, Pangapisan",A,129.6,ALA1378,
1769,4,ALA1361-15,ALA5513,2b,2b,2b,A1,S,30,43652074.64,5987362.25,16.23157591,119.9550091,"Rongos, Pangapisan",A,25,ALA1379,
1770,4,ALA1361-16,ALA5514,2b,2b,2b,A3,S,30,43651960.38,5987880.39,16.23294299,119.9546951,"Rongos, Pangapisan",A,156.1,ALA1380,
1771,4,ALA1361-17,ALA5515,2b,2b,2b,A2,S,30,43651800.62,5988104.448,16.23353415,119.9542561,"Rongos, Pangapisan",A,82,ALA1381,
1772,4,ALA1361-18,ALA5516,2b,2b,2b,A2,S,30,43651850.11,5988360.284,16.23420915,119.9543921,"Rongos, Pangapisan",A,76.7,ALA1382,
